home,score,away,year
Argentina ,1–0, France,1930
Sweden ,3–2, Argentina,1934
Brazil ,2–2,  Switzerland,1950
Argentina ,3–1, Northern Ireland,1958
Soviet Union ,2–1, Uruguay,1962
Uruguay ,2–1, France,1966
Mexico ,4–0, El Salvador,1970
East Germany ,2–0, Australia,1974
Italy ,3–1, Hungary,1978
Italy ,0–0, Poland,1982
Bulgaria ,1–1, Italy,1986
Romania ,1–4,  Switzerland,1994
Denmark ,1–1, Senegal,2002
Poland ,0–2, Ecuador,2006
